start,end,text,labels,id
0,68,"In The Supreme Court Of India

                                   ",['PREAMBLE'],d0d4f502eed44f9f94fd4bc233fbfb1f_0
68,140,"Criminal Appellate Jurisdiction

                                     ",['PREAMBLE'],5ae9c5be55674c90bdc254d4934c3971_1
140,170,Criminal Appeal No.332 Of 2016,['PREAMBLE'],30034583b7754c7f9d3f9314189d238f_2
200,276,"(Arising out of Special Leave Petition (Crl) No. 10515 of 2013)



     ",['PREAMBLE'],f493d02d89ce42159a79b3cdbcfe177d_3
276,301,M / S Videocon Industries,['PREAMBLE'],9c3c5d469cec49eaaad883203fb6563a_4
343,416,"Appellants
     Ltd & Anr

                                           ",['PREAMBLE'],c4d8fbb77bd84fb98d908f00e81f3515_5
416,458,"Versus


     State Of Maharshtra & Ors",['PREAMBLE'],730c2e1916474414a1f972ebbc6a6790_6
496,507,Respondents,['PREAMBLE'],30be4e4405ad4560b588160b210869f9_7
567,642,"With

                                     Criminal Appeal No.333 Of 2016",['PREAMBLE'],560245b56fc3439cb3d9a7860c8d9fac_8
673,801,"(Arising out of Special Leave Petition (Crl) No. 40 of 2014)




                                                Judgment
",['PREAMBLE'],bcb0ac9b80f34257b4f60a22ca258d29_9
801,840,"Dipak Misra, J.

Leave granted.

2.",['NONE'],431db890a4504a4e86449a7f88760aef_10
841,1121,"The present appeals, by special leave, are directed against the order dated 14.10.2013 passed by the High Court of Judicature at Signature Not Verified Bombay in Criminal Application No.497 of 2011 assailing the order Digitally signed by CHETAN KUMAR Date: 2016.06.01 16:56:12 IST",['FAC'],46697d3a72fa418b922ccc3636ec5889_11
1122,1659,"Reason:

passed by the learned Additional Sessions Judge, Fort, Greater Bombay in Criminal Revision No.716 of 2008 whereunder the revisional court had dislodged the order of discharge passed by the Chief Metropolitan Magistrate, Mumbai in Complaint Case No.1149/S/2002 wherein the company as well as its officer were facing trial for the offence punishable under Section 56(1)(i) of the Foreign Exchange Regulation Act, 1973 (for short, 'the Act') for the alleged contravention of the provisions of Sections 18(2) and 18(3) of the Act.",['RLC'],c7964d5399144f9e9ff8eff1d5a621b2_12
1660,2075,"

3 . As the factual matrix would depict, when the matter was pending for trial before the learned Chief Metropolitan Magistrate, the adjudicating authority vide order dated 30.03.2005 imposed penalty of Rs.2,00,00,000/- (Rupees two crore only) against the appellant-company and penalty amounting to between Rs.50,000/- (Rupees fifty thousand only) to Rs.2,00,000/- (Rupees two lac only) on each of the Directors.",['RLC'],7ff2c90c675046a490d6c30f66181966_13
2076,2315,"Being grieved by the order passed by the adjudicating authority, the company as well as the Directors preferred Appeal No.517 of 2005 and other connected appeals before the Appellate Tribunal for Foreign Exchange (for short, the tribunal).",['FAC'],7e6d74d748b2427fade6d94bb02aefee_14
2316,2667,"The tribunal reproduced Section 18 of the Act, analysed the scheme of the provisions, scrutinized the allegations made by the Department, discussed the stand put forth by the assessees and came to hold that:-

Thus, it is simple and clear from the language that goods which were purchased from Korea and Japan are not covered under Section 18(1)(a).",['RLC'],a284ddb932454eb0a41aafbe646c3c65_15
2668,2959,"From this sequence, it further flows that Section 18(2) is not applicable to the goods which were sold in international market by way of international transactions because these provisions are made applicable to the goods which are otherwise covered under Section 18(1)(a) and not otherwise.",['FAC'],c6e1933d56b7469c91b900b2cf70bd9c_16
2960,3170,"As the goods in question were never exported outside India so Section 18(2) is in no way can be applied to these transactions because such international selling is not governed by Section 18(1)
(a) of FER Act.",['FAC'],5d920734cb164f46b9a7bafeab1023af_17
3171,3310,The impugned order has repeatedly said that for purchase of CPT colour tubes from Japan and Korea the appellant spent the foreign exchange.,['FAC'],a0b02748353940faaeca3d96eecbdb0c_18
3311,3324,May it be so.,['FAC'],6ef931b1d6cf4095b8af10e080489606_19
3325,3448,But such spending of foreign exchange in international trade by an Indian person is not forbidden by Section 19 of FER Act.,['FAC'],8f81df4b0e3b4fb58d13b7eabc6dec1b_20
3449,3623,"Shri A.C. Singh, ALA could not point out any other provision in FER Act where spending of foreign exchange is prohibited in international trade by a person resident in India.",['ARG_PETITIONER'],3910334cbc044aadb5f0f8aecb22a20e_21
